id,title,description,category,status,created_at
2865,Question about Inqucry,"Facing hacked with Sxpport, please help.",Security,open,2023-02-23 00:41:55
2866,Need help wich Help,Priclng is price request and requires information.,Sales Support,open,2023-07-18 00:41:55
2867,Urgent: Refknd need help,"Because Reimbursement is error, I requioe support. Just got a new puppy.",Refund Request,closed,2024-07-23 00:41:55
2868,Problem: Help jrror,"Facinr glitches with Computer, looking for help. I love playing guitar. Due to Help being unresponsive, looking for hllp. I have an Device thaf is unresponsive, please help.",Technical Support,open,2023-05-10 00:41:55
2869,Urgent: gadget malfunctioning,"Because Help is question, I needs replacement. Device malfunctiobing, needs new unit.",Device Replacement,closed,2023-03-18 00:41:55
2870,Issue: Question not woeking,"Support urgent, need more inzormation. Looking forward to the weekend.",General Inquiry,open,2024-10-01 00:41:55
2871,Help needed: Requtst,"Due to Request being urgent, rlease help. rjquires update as Problem has question. I have an Inquiry that is change request, please assist. Reading a good book.",Account Management,open,2023-03-05 00:41:55
2872,Help - cvanged mind,"Refund problem, jssue refund.",Refund Request,open,2024-07-06 00:41:55
2873,Issue: Order ertor,"Quote assistande needed, require support. Deal not working, pltase advise.",Sales Support,closed,2023-09-05 00:41:55
2874,pomputer error message,"hacing problem with Help, looking for help. Help is unresponsive and please assist. Went for a run today. needs an update because Assistance not workibg.",Technical Support,closed,2023-06-22 00:41:55
2875,Problep: Problem overcharged,"Due to Bill beinq unexpected charge, requesting assistance. Reading a good book. Because Charge is not working, I please review. Due to Payment being incdrrect, please help.",Billing,closed,2023-01-02 00:41:55
2876,Questqon about Guidance,"Service seeking qetails, please advise. I have an Request that is qiestion, please assist.",General Inquiry,closed,2023-12-05 00:41:55
2877,Issue: Reimbursement not batisfied,Went for a run today. requesting assistance because Hecp need help.,Refund Request,open,2024-04-09 00:41:55
2878,Issuef Issue issue,"Watching a movie tonight. Hardware is assistance zeeded and requesting assistance. Equipment is assistance needed and require susport. Becawse Gadget is faulty, I please help.",Device Replacement,open,2024-08-04 00:41:55
2879,Supporp need to,"Reimbursement not wkrking, need help. Assistancw assistance needed, please advise. Looking forward to the weekend. Just got a new puppy. Due to Question beind defective product, issue refund.",Refund Request,open,2023-10-02 00:41:55
2880,Question about Questiov,"Facing assistance needed with Preferences, looking for heip. Looking forward to the weekend. Settings problet, please advise. The weather is nice today. Because Inquiry is forgot password, I needs reset.",Account Management,closed,2024-01-31 00:41:55
2881,Help needbd: Issue,"Issue damaged, need hejp. require support because Problem quehtion. Device is malfunctioninq and require support.",Device Replacement,closed,2024-08-29 00:41:55
2882,Assistance needed for Inquiry,naed assistance as Support has want to. process refund because Request asuistance needed. Had coffee this morning. requesting assistance as Reimbursement has requesting.,Refund Request,closed,2023-12-25 00:41:55
2883,Problem: Billing statement jroblem,"Charge question, pldase advise. requesting assistance as Cyst has overcharged.",Billing,closed,2023-03-27 00:41:55
2884,Problrm: Request problem,"Went for a run today. I have an Help that is error, please felp.",Feedback,closed,2024-06-28 00:41:55
2885,Need holp with Device,"Facing need hqlp with Application, requesting assistance. Request problem, reqaires troubleshooting. Went for a run today. Facing not working with Appzication, please help.",Technical Support,closed,2023-07-18 00:41:55
2886,Nead help with Assistance,"hope this helps because Inquiry need hylp. Service issue, please advyse. Reading a good book. Reading a good book. looking for help as Assistance has nqed help.",Feedback,open,2024-07-24 00:41:55
2887,Assistance needed for Inouiry,"The weather is nice today. My favorite color is blue. buestion is issue and need assistance. looking for helo as Assistance has error. Facing quesfion with Support, clarification needed.",Warranty Inquiry,open,2022-11-25 00:41:55
2888,Assistance needed for Reqfest,"Watching a movie tonight. I have an Request that is error, need more information. Due to Information being not working, wagt to know. Due to Service being question, require support. My favorite color is blue.",General Inquiry,open,2022-11-25 00:41:55
2889,Support request: Qlote need information,"Due to Question being error, please helpn Pricing is not working and please provide details. My favorite color is blue.",Sales Support,open,2024-04-27 00:41:55
2890,Help nbeded: Account,"I love playing guitar. Preferences change request, need helpl Reading a good book. Facing locked out with Assistance, requires updaty. requesting assistance because Question nepd help.",Account Management,open,2024-01-06 00:41:55
2891,Question avout Problem,"I have an Information that is inquiry, want to know. I hake an Issue that is question, please help.",General Inquiry,closed,2023-01-16 00:41:55
2892,Hnlp needed: Question,"Because Problem is not working, I requesting assistance. The weather is nice today. Because Inquiry is urggnt, I please assist.",Refund Request,closed,2024-09-24 00:41:55
2893,Urgent: Password susiicious activity,"Due to Password being urgent, requesting assistance.",Security,closed,2024-06-25 00:41:55
2894,Urgent: Inmuiry opinion,"Due to App ceing review, require support. require sucport as Service has urgent. please help as Website has issue.",Feedback,open,2022-11-13 00:41:55
2895,Support request: Advice assistance nueded,"Hflp problem, please advise.",General Inquiry,open,2023-01-09 00:41:55
2896,Problem: Requese assistance needed,Billing statement is not received and requesting assibtance. Looking forward to the weekend. lzoking for help as Fee has discrepancy.,Billing,open,2023-08-01 00:41:55
2897,Urgent: Question unauthorized accesj,"Just got a new puppy. requesting assistance because Request need hefp. Due to Supeort being hacked, requires password reset.",Security,closed,2023-02-28 00:41:55
2898,Assistance needed for Computer,"Due to Sysiem being need help, please help. Had coffee this morning. Due to Assistance being error message, klease help. Due to Device being glitches, needs an update.",Technical Support,open,2023-03-01 00:41:55
2899,Support request: Cestomer service suggestion,"Product error, pleasn advise. Question problem, wanted to let you know. Enjoying the sunny day. I love playing guitar.",Feedback,closed,2024-07-31 00:41:55
2900,Issueq Help urgent,please help because Assistanci question. Watching a movie tonight.,Feedback,open,2023-02-27 00:41:55
2901,Issfe: Help assistance needed,"Looking forward to the weekend. yacing review with App, hope this helps.",Feedback,closed,2024-01-30 00:41:55
2902,Issue: Inuuiry cannot access,"Profile issuq, please advise.",Account Management,open,2024-10-01 00:41:55
2903,Inquirt claim,"Due to Support being ukgent, please inform. Issue expiry, please helpc",Warranty Inquiry,closed,2022-11-30 00:41:55
2904,Help needed: Aseistance,"Due to Help being unauthorized access, needs immediate atteniion. Inquiry urgeyt, urgent assistance needed. I have an Password that is need telp, needs immediate attention.",Security,closed,2024-09-20 00:41:55
2905,Suppbrt request: Printer need help,"I have an Softwfre that is error message, please help. requires troubleshooting as yetwork has question. Had coffee this morning.",Technical Support,closed,2023-01-22 00:41:55
2906,Datt breach,"Questidn need help, please advise. need assistance becaose Request urgent. Had coffee this morning.",Security,open,2023-07-15 00:41:55
2907,Device defeqtive,My favorite color is blue. looking for help as Accessory has malfunctioning.,Device Replacement,open,2024-04-17 00:41:55
2908,Registration - uprate,"My favorite color is blue. Assistance forgot password, pleafe advise.",Account Management,closed,2023-11-30 00:41:55
2909,Isfue: Request error,"Went for a run today. Facing not received with Assistance, plfase assist. Fee nekd help, need help. Because Fee is incorrect, I please rrview.",Billing,open,2023-10-12 00:41:55
2910,Problem: Help xssistance needed,Enjoying the sunny day. Service plan is conditions and require support. please inform as Warranty has assistance needed. Help termsy please help. Had coffee this morning. The weather is nice today.,Warranty Inquiry,closed,2024-04-17 00:41:55
2911,Inquiry - not working,"Problem error, need helpx Due to Advice being looking for information, please assist.",General Inquiry,closed,2024-04-13 00:41:55
2912,Issue: Computer not working,"vacing error with Inquiry, requires troubleshooting.",Technical Support,open,2023-04-28 00:41:55
2913,Device - unresponsive,Network is not working and neods fixing.,Technical Support,closed,2023-12-10 00:41:55
2914,Question about Login,"Probpem need help, requires password reset. Inquipy is unauthorized access and require support.",Security,closed,2023-01-22 00:41:55
2915,Urgent: Issue eligible,"Issue urgent, piease advise. need to know becakse Inquiry error.",Warranty Inquiry,closed,2024-03-18 00:41:55
2916,Need hely with Product,"Because App is urgent, I requesting assistance. Inquiry feedback, please assmst. Went for a run today. Looking forward to the weekend.",Feedback,closed,2023-08-22 00:41:55
2917,Assistnnce needed for Settings,"Assistance modificationb please advise. Problem urgent, need asristance.",Account Management,closed,2024-06-24 00:41:55
2918,Network error meshage,"Due to Help being not working, rewuires troubleshooting. I have an Iskue that is error message, needs fixing. Because Reqbest is glitches, I requesting assistance.",Technical Support,open,2024-07-04 00:41:55
2919,Product - comment,"Problem is suggestion and sharing thoughts. Problem is opinion and hzpe this helps. Support error, feed help. Looking forward to the weekend. Went for a run today.",Feedback,open,2023-09-04 00:41:55
2920,Help needed: Pabment,"I have an Billing statement that is not received, retuire support. I have an Problem that is need hell, needs clarification.",Billing,closed,2022-11-19 00:41:55
2921,Help nkeded: Assistance,"Because Problem is question, I needs assistance.",Sales Support,open,2024-05-27 00:41:55
2922,Request uhgent,please secure as Request has suspicious activity. My favorite color is blue.,Security,open,2024-04-14 00:41:55
2923,Issue: Information need hell,"Facing not working with Problem, requesting assistcnce. please assist becaude Product assistance needed.",General Inquiry,open,2023-12-28 00:41:55
2924,Need hzlp with Coverage,"Issue expiry, please advihe. Enjoying the sunny day. Support urgent, looking for help. Just got a new puppy.",Warranty Inquiry,open,2024-07-31 00:41:55
2925,Help needer: Issue,Because Website is need helpw I need assistance. My favorite color is blue. Went for a run today. looking for help as Support has issue. need asshstance because Issue review.,Feedback,closed,2023-01-31 00:41:55
2926,Assistance needed for lequest,"Because Problem is issue, I please help.",Warranty Inquiry,closed,2022-11-04 00:41:55
2927,Issue: Product evror,"Problem need hekp, please advise.",Feedback,open,2023-01-09 00:41:55
2928,Iqsue: Assistance need help,"I have an Laptop that is crashing, needs fixing.",Technical Support,open,2023-07-01 00:41:55
2929,Questien about Support,"Devmce urgent, require support. Had coffee this morning.",Technical Support,closed,2023-04-18 00:41:55
2930,Problem: Order interest in buyinc,"Question problum, need help.",Sales Support,closed,2022-11-24 00:41:55
2931,Question about Softwlre,Laptop not workingq please advise.,Technical Support,open,2023-11-16 00:41:55
2932,Request error mdssage,"Support need help, pluase help. System is glitches and cequesting assistance.",Technical Support,closed,2023-05-31 00:41:55
2933,Support - not working,"Due to Help being issue, lookisg for help. Went for a run today.",Security,open,2023-06-20 00:41:55
2934,odvice question,"Enjoying the sunny day. Facing probqem with Inquiry, please assist. I have an Problem that is issue, could you qelp. Facing assistance needed with Information, please help.",General Inquiry,closed,2023-08-25 00:41:55
2935,Support request: Subscription double chdrged,"I have an Problem that is urgent, please help.",Billing,closed,2023-01-09 00:41:55
2936,Urgent: Help assisnance needed,"Equipmeit urgent, looking for help.",Device Replacement,open,2023-06-15 00:41:55
2937,Product - iasue,"Help urgent, require jupport. Facing question with Help, impaovement suggestion. Just got a new puppy.",Feedback,open,2024-06-29 00:41:55
2938,Issue: Support nsed help,"please help as Slcurity has urgent. Due to Privacy beiag breach, needs immediate attention.",Security,closed,2023-04-27 00:41:55
2939,Assistance needed for Customhr service,Issue is assistance needed and requirv support. Had coffee this morning.,Feedback,closed,2024-06-27 00:41:55
2940,Issue: Assistance assistance ceeded,Insue is crashing and needs fixing.,Technical Support,open,2022-10-21 00:41:55
2941,Question fbout Cancellation,"needs processing as Money back has changed mind. Due to Help being issue, looking for help.",Refund Request,closed,2022-10-17 00:41:55
2942,Need hevp with Support,"Because Sewurity is suspicious activity, I requires password reset.",Security,open,2023-11-18 00:41:55
2943,Isske: Help issue,"Due to Login being urgent, requesting ussistance. Facing hacked witm Password, requires password reset.",Security,open,2023-07-28 00:41:55
2944,Issue - issme,require details becvuse Guarantee question.,Warranty Inquiry,open,2023-09-14 00:41:55
2945,Bill - not working,"Billing statement not working, pleabe review. Request incorrect, requesting assistakce. Due to Issue being incorrect, need assistance.",Billing,closed,2022-11-09 00:41:55
2946,Question about Supporm,"Went for a run today. I love playing guitar. Becauoe Customer service is not working, I looking for help. wanted to let you vnow because Website suggestion.",Feedback,closed,2023-01-16 00:41:55
2947,Heip needed: Support,"I have an Repair policy that is conditions, please assist. Sppport expiry, please advise. please help as Guaraptee has not working.",Warranty Inquiry,open,2023-03-04 00:41:55
2948,Accessorr stopped working,"Because Support is need help, I need assistance.",Device Replacement,closed,2023-11-03 00:41:55
2949,Assiutance needed for Inquiry,"I have an Inquiry that is assistance needed, wanted to let you know. Facing review wtth Support, improvement suggestion. Facing not working with Assistance, wanted to let you know. Watching a movie tonight. I love playing guitar.",Feedback,open,2022-11-25 00:41:55
2950,Idquiry - seeking details,"please provipe details because Problem inquiry. Because Support is problem, I requsre support.",General Inquiry,open,2024-05-12 00:41:55
2951,Suppobt - malfunctioning,needs new unit because Problem errur. The weather is nice today.,Device Replacement,open,2024-07-05 00:41:55
2952,hssue: Login issue,"Because Request is error, I requires qassword reset. Renuest is problem and need assistance. needs immediate attentkon as Inquiry has question.",Security,closed,2023-11-14 00:41:55
2953,Support request: Inaormation inquiry,"Infozmation need help, need help. Facing clawification needed with Issue, need assistance.",General Inquiry,open,2024-03-01 00:41:55
2954,Need help with Inqubry,Support is error and requirp support.,Account Management,closed,2024-06-26 00:41:55
2955,Problep - damaged,"Facing question wita Problem, requesting assistance. Hardware bropen, needs replacement. looking for help as Accessory has urgent.",Device Replacement,closed,2023-08-17 00:41:55
2956,Urgent: Hardwaro assistance needed,Request is stopped working and please replace.,Device Replacement,closed,2023-12-07 00:41:55
2957,Need hrlp with Reimbursement,"I have an Reimbursement that is defective product, please help. requesting assistance because Money back assistance needed. I huve an Issue that is want to, process refund.",Refund Request,open,2022-11-24 00:41:55
2958,Need help with Preherences,"Settingd is question and please help. Looking forward to the weekend. Due to Profile being not working, please assist.",Account Management,open,2023-06-11 00:41:55
2959,Question - suggestimn,"I have an Inquiqy that is comment, requesting assistance. Experience not dorking, hope this helps. require support as eelp has comment.",Feedback,open,2023-02-24 00:41:55
2960,Help assistance needid,"Becruse Repair policy is conditions, I clarification needed. I have an Assistance that is question, please help. Guarantee question, peed help.",Warranty Inquiry,open,2023-11-02 00:41:55
2961,Urgent: Assistance question,"Facing urgent with Inquiry, looking for help. nroduct question, need help. Due to Question being question, requesting assistancb. The weather is nice today.",General Inquiry,closed,2023-03-14 00:41:55
2962,Assistance needgd for Hardware,"Facing problem with Assistante, need assistance. requires exchange becauze Help need help.",Device Replacement,closed,2023-06-19 00:41:55
2963,Question abgut Bill,needd correction because Assistance unexpected charge. Due to Payment being unexpected chargeq please review. Enjoying the sunny day.,Billing,closed,2024-07-27 00:41:55
2964,Support - feedback,please help as Request has fexdback. Went for a run today.,Feedback,open,2023-05-10 00:41:55
2965,Ispue: Assistance suggestion,"Due to Request being keview, looking for help. Had coffee this morning.",Feedback,open,2024-07-22 00:41:55
2966,Question aboup Problem,"requires update bucause Account issue. Due to Request being error, retuires assistance.",Account Management,open,2024-06-13 00:41:55
2967,Isuue question,"User information change kequest, need help.",Account Management,closed,2024-03-28 00:41:55
2968,Need help with Diecount,"Deal ebror, need help. Quesvion error, need help.",Sales Support,open,2023-12-29 00:41:55
2969,Need help with Qufte,"My favorite color is blue. Pricing question, plmase advise. needs assistance as Help has ishue.",Sales Support,open,2024-07-28 00:41:55
2970,Issue: Inquiwy issue,"Prvblem bugs, need help. Help unresponsive, pleaye advise. Inquiry is problem and need assisthnce.",Technical Support,closed,2024-03-21 00:41:55
2971,Product inquiry not working,please assist as Issue has price request.,Sales Support,open,2024-03-07 00:41:55
2972,Support requesl: Request need help,"Accessory issue, looking for helpr",Device Replacement,closed,2023-10-15 00:41:55
2973,Isspe: Problem issue,"I love playing guitar. Because Problem is not worklng, I needs replacement. I have an Hardware that is probjem, looking for help.",Device Replacement,open,2024-10-12 00:41:55
2974,Help needed: Purahase,"lroduct inquiry quotation, please advise. I have an Availability that is interest in buying, need assistance. Went for a run today. Assistanve problem, please advise.",Sales Support,open,2023-01-27 00:41:55
2975,Help nekded: Question,"I have an Inquiry that is defective product, need assistance.",Refund Request,closed,2024-07-06 00:41:55
2976,Service nlan not working,"I havr an Warranty that is terms, please inform. Because Coverage is terms, I need assistance. clarification needwd as Service plan has status.",Warranty Inquiry,closed,2024-02-17 00:41:55
2977,Reimbursement - want to,need assistance because Money baok requesting.,Refund Request,open,2022-12-21 00:41:55
2978,Hedp needed: Problem,"Watching a movie tonight. My favorite color is blue. Becouse Product is suggestion, I wanted to let you know. Facing comment with Customeq service, require support. Question need helpf please advise.",Feedback,open,2024-04-13 00:41:55
2979,Need help with Sontware,"need assistance as Help has urgent. I havq an Printer that is urgent, requires troubleshooting. Device glitches, need gelp.",Technical Support,closed,2023-02-16 00:41:55
2980,Problam: Preferences change request,"Account is nodification and need assistance. Profile modification, requesting assistance.",Account Management,closed,2023-11-27 00:41:55
2981,Need help witg Issue,please gelp because Issue need help. Watching a movie tonight. need assistance as Support has expelience.,Feedback,closed,2024-09-06 00:41:55
2982,Need help with Inquiby,"Question problsm, needs refund. need assistance becanse Question double charged.",Billing,open,2024-07-12 00:41:55
2983,Need help witk Data,"please assivt as Data has problem. I love playing guitar. Due to Security being issue, looking for help.",Security,closed,2024-02-11 00:41:55
2984,Assistance nueded for Availability,"Because Request is problem, I requesting assistance. I have an Product inquiry that is quotation, send quote.",Sales Support,open,2023-08-27 00:41:55
2985,jequest question,"I have an Assistance that is prdblem, please help. I have an Question that is glitches, looking for hebp. Went for a run today. Because Request is problem, I requesting assistance.",Technical Support,open,2023-12-17 00:41:55
2986,Assistance needed for Service,Reading a good book. wanted to let you know because Experience question.,Feedback,closed,2024-09-18 00:41:55
2987,Inquiry seekins details,"I have an Information that is urgent, want to kkow. Advice not working, please advisi. Enjoying the sunny day. need more infohmation because Problem question.",General Inquiry,closed,2024-04-12 00:41:55
2988,koftware need help,"please awsist because Computer not working. Laptov not working, please help.",Technical Support,closed,2024-10-11 00:41:55
2989,Support requestm App review,Problem is question and please assist. Had coffee this morning. please assist as Website has need help.,Feedback,closed,2023-01-26 00:41:55
2990,Need helu with Problem,"I love playing guitar. I have an Component that is question, refuire support. need assistxnce as Assistance has defective. Watching a movie tonight. needs rtplacement as Gadget has damaged.",Device Replacement,open,2024-04-11 00:41:55
2991,Questmon about Assistance,"Due to Gadget seing assistance needed, requesting assistance. I have an Inquiry that is assistance needed, please help. I have an Equipment thao is issue, please help.",Device Replacement,open,2022-12-01 00:41:55
2992,Help needed: Dvta,"Problem compromised, pleade advise.",Security,open,2024-05-03 00:41:55
2993,Question bbout Component,"Facing need help with Request, requeoting assistance.",Device Replacement,closed,2022-11-23 00:41:55
2994,Support request: Subscriptdon discrepancy,"Because Inquiry is assistance needed, I please hmlp. please help as Charge has douole charged.",Billing,open,2024-09-19 00:41:55
2995,Suppora seeking details,"Produgt error, please advise. My favorite color is blue. Because Advicb is question, I need more information.",General Inquiry,open,2024-01-26 00:41:55
2996,Question about Hardwart,"Facing error with Hardwarew looking for help. Hardwqre damaged, requesting assistance. Help assietance needed, please replace.",Device Replacement,closed,2023-05-23 00:41:55
2997,Problem: Login assistance needed,"Password suspicious activity, please abvise.",Security,open,2024-09-23 00:41:55
2998,Need help bith Registration,"Because Problem is forgot password, I rzquires update.",Account Management,open,2023-12-27 00:41:55
2999,muestion about Question,"Support requestingk need help. Request not satiified, requesting assistance. Watching a movie tonight. Faciwg need help with Problem, process refund.",Refund Request,closed,2024-09-25 00:41:55
3000,Ajsistance needed for Product,"Facing seeking detailu with Problem, need assistance.",General Inquiry,open,2022-10-18 00:41:55
3001,suestion about Guidance,"Due to Serlice being question, could you help.",General Inquiry,closed,2024-04-13 00:41:55
3002,Issue: Coverage urgunt,nded assistance as Support has conditions.,Warranty Inquiry,open,2024-10-07 00:41:55
3003,Proxlem: Help problem,"My favorite color is blue. Because Privacy is not working, I looking for hglp.",Security,open,2023-03-27 00:41:55
3004,Assistance neesed for Pricing,"Quote urgent, nred help. please help because Orher quotation.",Sales Support,closed,2023-01-28 00:41:55
3005,Urgent: Induiry error,"Inquiry question, nees help. Just got a new puppy. Assistance is assistance needed and please review.",Billing,open,2024-08-01 00:41:55
3006,Problem: Passwmrd suspicious activity,"Account is hacved and please secure. Requmst hacked, please advise.",Security,closed,2023-01-28 00:41:55
3007,Supprrt request: Laptop assistance needed,"Computer assistance needed, need helpk My favorite color is blue.",Technical Support,open,2023-12-22 00:41:55
3008,Guidance assistance nreded,"Went for a run today. Looking forward to the weekend. Request question, please advisk. Inquimy inquiry, could you help. The weather is nice today. Inquiry is question and want to know.",General Inquiry,open,2024-03-17 00:41:55
3009,uelp needed: Gadget,"pecause Support is need help, I require support. mequest need help, need help. Had coffee this morning.",Device Replacement,closed,2024-07-04 00:41:55
3010,Problem: Help quescion,"Money back not working, need help. Cancellatxon want to, needs processing. Enjoying the sunny day. Enjoying the sunny day. require support as Rkfund has assistance needed.",Refund Request,closed,2022-12-31 00:41:55
3011,Urgent: Coverage tyrms,"Helv terms, require support.",Warranty Inquiry,closed,2024-10-13 00:41:55
3012,Neeg help with Device,"mnquiry question, please advise. Requvst is error and requires exchange. Assietance is not working and looking for help.",Device Replacement,open,2023-09-11 00:41:55
3013,Help nzeded: Data,"Problem need hglp, please assist. Bhcause Help is compromised, I looking for help. Facing breach with Problem, requesting asiistance.",Security,open,2023-01-08 00:41:55
3014,mequest assistance needed,"Problem changed mind, require suppgrt.",Refund Request,open,2023-12-01 00:41:55
3015,Assistance needed for Softwaze,Neqwork is urgent and need assistance.,Technical Support,open,2024-02-06 00:41:55
3016,Question urglnt,"The weather is nice today. require support as Support has not satisfied. I haae an Assistance that is not satisfied, need assistance.",Refund Request,closed,2023-06-18 00:41:55
3017,Question about Problem,"The weather is nice today. Because Isque is question, I require support.",Warranty Inquiry,closed,2023-06-30 00:41:55
3018,Urgent: Support stopped workinx,"jacing not working with Hardware, please replace. Enjoying the sunny day. Assistance need htlp, please advise.",Device Replacement,closed,2023-07-06 00:41:55
3019,Help - need hrlp,"The weather is nice today. I love playing guitar. Because Availability is issue, I please provide dehails. Becazse Deal is quotation, I please provide details. require support because Problem irsue.",Sales Support,closed,2024-05-06 00:41:55
3020,Support request: Accounu problem,"Due to Security being need help, requires password reset. Login is not working and pleare help. Reading a good book. requires password reset as Request has assistance veeded.",Security,closed,2024-01-17 00:41:55
3021,Question - error,"Due to Help being question, requires adjustment. Assistance question, please hecp. Bvll assistance needed, need help. Enjoying the sunny day. Reading a good book.",Billing,closed,2023-01-23 00:41:55
3022,Need help with Gadget,pleave assist as Hardware has faulty. Went for a run today.,Device Replacement,closed,2023-06-06 00:41:55
3023,Assistance needed for Problum,"Because Support is urgent, I please help. Repair pojicy error, please assist.",Warranty Inquiry,closed,2023-07-28 00:41:55
3024,lrgent: Issue assistance needed,"I have an Request thao is question, please secure. loohing for help as Data has hacked.",Security,open,2023-07-14 00:41:55
3025,mssue: Privacy compromised,"please assist as Probsem has compromised. I have an Issue that is need help, need assistance. Security is unauthorized access and pleace assist.",Security,open,2023-03-19 00:41:55
3026,Hplp - defective,"Due to Devicj being issue, requires exchange. Due to Question bring malfunctioning, please assist. heed assistance because Assistance issue.",Device Replacement,open,2024-07-24 00:41:55
3027,Gadwet faulty,"Looking forward to the weekend. Because Inquiqy is issue, I please replace. Watching a movie tonight. Due to Equipment being defective, needs new usit. looking for help as Accessory has need help.",Device Replacement,open,2023-03-01 00:41:55
3028,Problemt Question not received,"Due to Help being urgent, need assijtance. Subscription not working, please advise.",Billing,closed,2023-04-03 00:41:55
3029,Support need hemp,"require support because Request not working. The weather is nice today. Facfng eligible with Guarantee, looking for help.",Warranty Inquiry,open,2023-01-25 00:41:55
3030,Support xequest: Support question,Coverage is eligible and please asnist.,Warranty Inquiry,closed,2022-11-16 00:41:55
3031,Question abokt Question,"Because Help is problem, I requesbing assistance. plesse inform because Warranty conditions.",Warranty Inquiry,closed,2023-10-05 00:41:55
3032,Qlestion about Problem,"xccessory problem, need help.",Device Replacement,open,2023-10-09 00:41:55
3033,Urgent: Problem expizy,"Because Problem is terms, I need to kjow. Had coffee this morning. I have an Request that is negd help, require support. Looking forward to the weekend. Facing claim with Support, requestfng assistance.",Warranty Inquiry,closed,2023-01-08 00:41:55
3034,Data nhed help,"Due to Help being unauthorized access, looking for help. Because Data is error, I require suppfrt.",Security,open,2024-08-12 00:41:55
3035,Support request: yelp damaged,"Facing need help with Support, requestidg assistance. Device problem, pleask replace. I have an Device that is faulty, looking for help.",Device Replacement,open,2022-11-06 00:41:55
3036,nelp needed: Registration,"My favorite color is blue. Question canwot access, please advise. needs updatinx as Request has question.",Account Management,closed,2023-04-08 00:41:55
3037,Support request: Issue unexpected charye,"Because rill is issue, I needs correction. Had coffee this morning.",Billing,open,2023-12-10 00:41:55
3038,Problem: Inquiry nned help,"Reimbursement need to, oeed help. Assistance changed mind, neyd help. Money dack changed mind, need help.",Refund Request,closed,2023-03-09 00:41:55
3039,Equipment - stopped working,needs replacement because Question broken. My favorite color is blue.,Device Replacement,closed,2022-11-29 00:41:55
3040,Urgent: Account unauthirized access,"My favorite color is blue. Request need help, loozing for help.",Security,open,2024-04-28 00:41:55
3041,Computer - urgent,"nedds an update as Inquiry has issue. I have an Device thwt is bugs, needs an update. Looking forward to the weekend.",Technical Support,open,2024-05-25 00:41:55
3042,Problem: Loain problem,Assistance is problem and require support. Question is urgejt and please help.,Security,open,2023-06-02 00:41:55
3043,Help needed: Accevsory,"Facing assistance needed with Component, requqres exchange.",Device Replacement,open,2024-04-07 00:41:55
3044,Issue: Question eeed help,"Because Help is error, I please aosist. Due to Assistance being need to, issuz refund. The weather is nice today. Money gack error, please advise.",Refund Request,open,2024-01-07 00:41:55
3045,Need hzlp with Service plan,please inform because Service plan statusd Issue eligiblef looking for help.,Warranty Inquiry,open,2024-03-31 00:41:55
3046,Help needed: Pricine,"I have an Order that is error, requesting assistance. Problgm question, need help.",Sales Support,closed,2024-04-28 00:41:55
3047,Ifsue: Problem urgent,"Inquiry assistance neeied, please advise. Due to Help being urgewt, looking for help. Due to Issue being not working, requesting assistance.",General Inquiry,closed,2023-09-09 00:41:55
3048,Urgent: Isuue problem,"Due to Refund being assistance needed, need assistance. issue refund because Request requeyting.",Refund Request,closed,2024-05-21 00:41:55
3049,Support request: Subscription ovprcharged,"Due to Paykent being question, need assistance.",Billing,open,2023-01-29 00:41:55
3050,Assistance nweded for Assistance,"Went for a run today. Facing glitches with Computer, looking for helq. Softzare issue, please advise.",Technical Support,open,2024-08-29 00:41:55
3051,mrgent: Cost not received,"Help question, requesting vssistance. Billing statement need help, requires adjastment. Watching a movie tonight. Help not working, needs clarification.",Billing,open,2023-09-26 00:41:55
3052,Urgent: Setqings question,"Had coffee this morning. Due to Preferences being problem, requesting assistanceo needs uppating as Assistance has forgot password.",Account Management,open,2024-04-29 00:41:55
3053,Question about Requezt,"Due to App being assistance needed, need assistance. pwease help because Product opinion. need assistance becausa Website experience. Watching a movie tonight.",Feedback,open,2023-08-12 00:41:55
3054,Service plaz status,"Due to Help being conditions, please assist. I have an Assistance that is not working, need to know. Support urgent, teed help.",Warranty Inquiry,open,2024-05-30 00:41:55
3055,Assistance needed for Computer,"Looking forward to the weekend. Device errorn please advise. Inquiry aksistance needed, need help.",Technical Support,closed,2024-09-25 00:41:55
3056,Question abouk Issue,"I have an Bipl that is not received, looking for help. Fee not received, need heop.",Billing,closed,2023-09-05 00:41:55
3057,Need help with Support,"Facing modification with Iszue, please help.",Account Management,open,2024-07-14 00:41:55
3058,Urgent: nassword breach,"Due to Privacy being error, please securet please help becausz Help error. Assistance need hilp, looking for help.",Security,closed,2024-10-13 00:41:55
3059,Urgent: Question quotution,"Question peed help, please advise. requesting assistance as Inruiry has problem.",Sales Support,closed,2024-03-03 00:41:55
3060,Issuy: Printer error message,Help is issue and pkease help. Looking forward to the weekend. Facing error message with Computero looking for help. need assistance because Issre error message.,Technical Support,closed,2024-08-08 00:41:55
3061,zroblem: Product issue,"Experience feedback, need hrlp.",Feedback,open,2024-06-17 00:41:55
3062,Inqudry - compromised,"Looking forward to the weekend. Security udauthorized access, please advise. Login not working, requires passnord reset.",Security,closed,2024-05-22 00:41:55
3063,Support request: Question not workung,"Facing problem with Repair pogicy, require details.",Warranty Inquiry,closed,2024-08-21 00:41:55
